-3.5885167464114716, 320
10.765550239234415, 320
32.29665071770336, 323.20000000000005
64.59330143540666, 331.20000000000005
118.4210526315789, 344.80000000000007
190.19138755980856, 361.6
272.7272727272727, 374.40000000000003
358.85167464114824, 384.8
495.2153110047847, 396.8
638.7559808612439, 406.40000000000003
775.1196172248804, 413.6
854.0669856459331, 416
872.0095693779904, 416
900.7177033492821, 411.20000000000005
943.77990430622, 397.6
979.6650717703349, 388
1029.9043062200956, 375.20000000000005
1101.6746411483252, 360
1173.444976076555, 348
1252.3923444976076, 337.6
1313.3971291866028, 331.20000000000005
1381.578947368421, 324.80000000000007
1377.9904306220092, 328
1385.1674641148327, 330.40000000000003
1435.4066985645934, 328
1507.1770334928228, 325.6
1561.004784688995, 324.80000000000007
1578.9473684210523, 326.4
1586.1244019138755, 335.20000000000005
1614.8325358851673, 335.20000000000005
1675.8373205741625, 334.40000000000003
1736.8421052631577, 334.40000000000003
